phase_connected,final_sigma_P_ns,final_sigma_Pdot_1e-15,total_telescope_time_s,num_epochs,population_type
True,0.0005089011577350287,0.0006381431870443839,300.0,5,young
True,0.000895421578129393,0.0005154969013614812,240.0,4,young
True,0.00782026488351982,0.0016762707357652043,810.0,6,young
True,648.313902242825,3.8139884304858307,420.0,7,young
True,0.015443846852721863,0.001930551664132691,240.0,4,young
True,0.002305611933408082,0.001331326518918809,300.0,5,young
True,4.7740533069121194e-05,6.0493964708613895e-05,300.0,5,young
True,0.004785488895796748,0.0016190977465401308,540.0,6,young
True,0.08964368027227948,0.021589331512243123,240.0,4,young
True,0.0047257787736275,0.0009285397626091296,240.0,4,young
True,0.010967255639962138,0.004696085182974179,300.0,5,young
True,2.842459306143268e-05,0.0001574978594931604,240.0,4,young
True,0.0010730294531040392,0.0010170701458819208,300.0,5,young
True,0.018840643963249838,0.002585040061806094,240.0,4,young
True,0.0009341186259067461,0.0004543231869107686,240.0,4,young
True,0.0118676329256999,0.0019609285135083324,240.0,4,young
True,0.4085442884431609,0.02895449358843848,1215.0,6,young
True,0.016318323252297057,0.0031193144109386427,300.0,5,young
True,0.03643772513264266,0.0024369605107312873,240.0,4,young
True,0.2565754218353877,0.0742966748936504,240.0,4,young
True,0.0026668225484551378,0.003019781145013536,240.0,4,young
True,1.5678149129276356e-05,1.7559797302037576e-05,240.0,4,young
True,0.0006258082626541032,0.0008178417906249223,300.0,5,young
True,0.00019054322117037094,0.0009436656176890761,240.0,4,young
True,8.315238179495747e-05,0.0001553931019476419,240.0,4,young
True,20.31868708570454,0.2129145642170356,360.0,6,young
True,5.886269094510645e-07,4.9893925295102174e-06,240.0,4,young
True,0.004324063259072126,0.0032402090394965423,240.0,4,young
True,9.100123780350873e-05,6.045065984806582e-05,240.0,4,young
False,38.00520659389233,37.74710314466023,180.0,3,young
True,0.002908945796386957,0.00455413510678537,240.0,4,young
True,0.9194278132858509,0.050367377117066986,360.0,6,young
True,0.01561670500474338,0.0013856608609614243,300.0,5,young
True,9.561281746777115e-06,5.753155403948223e-06,240.0,4,young
True,0.40184459803821604,0.018425289796698323,360.0,6,young
True,4.159197430239773,0.1839494698891854,540.0,6,young
True,0.02188350684837175,0.003090031684223587,300.0,5,young
True,0.23954963024033005,0.056802736635288786,240.0,4,young
True,0.10747712451779312,0.05016773937905881,240.0,4,young
True,0.0009563969594639387,0.00035402516809604067,240.0,4,young
True,0.8012555603802877,0.08646615276074267,300.0,5,young
True,5.41778517246052e-06,2.6491445230066547e-05,300.0,5,young
True,28.202563587064127,2.5888869546968487,240.0,4,young
True,0.00036785097041655177,0.00039562297375936496,240.0,4,young
True,2.4731944223526604e-05,2.3879846700906046e-05,300.0,5,young
True,1.9923705511504606,0.18178985132654535,240.0,4,young
True,0.0002517788349354558,0.0007983714407612957,240.0,4,young
True,0.011702192531348979,0.0033609975460017626,240.0,4,young
True,0.1667214012745306,0.04463694441444549,240.0,4,young
False,1621.3377906707112,33.721000708968646,360.0,6,young
False,31.73319825670149,11.706254550280587,240.0,4,young
True,0.3429685057902982,0.10120506794022638,240.0,4,young
True,0.0010134465159373955,0.012272538549167244,180.0,3,young
True,3.6103891229506075,0.16125563313754965,300.0,5,young
True,1.4325109463230786e-05,3.311141416631482e-05,240.0,4,young
True,0.4172595204912562,0.025279266116890572,240.0,4,young
True,0.0008586292048486494,6.277274261635971e-05,240.0,4,young
True,0.10536997749822033,0.05750007214603479,240.0,4,young
True,9.723724993942008e-05,9.421145180275815e-05,240.0,4,young
True,0.00032944802363302705,0.001185810200085744,240.0,4,young
True,0.05458875587021596,0.006176394375814112,300.0,5,young
True,0.5077264476990154,0.05609755062713057,240.0,4,young
True,0.00040897839663854476,0.0005429720559600726,240.0,4,young
True,0.0037721569245075534,0.0006684775624327865,300.0,5,young
True,0.000336085607103448,0.00011170330566600802,240.0,4,young
True,0.002739077603389733,0.003382436706554681,240.0,4,young
True,8.01515732833735,0.49013286925526933,300.0,5,young
True,0.0016794664039593774,0.00012713896686349755,240.0,4,young
